,G,T1,T2,T3,T4,T5,T6,T7,T8,T9
39,873.996.062.992.126,400.0,4.031.043.926,4.057.408.755,4.079.348.239,4.097.052.973,4.110.673.337,4.120.323.001,4.126.081.468,4.127.995.769
40,13.565.748.031.496.000,400.0,3.947.261.169,3.901.962.367,3.863.948.133,3.833.065.464,3.809.184.931,3.792.203.109,3.782.044.603,3.778.663.561
41,4.574.330.708.661.410,400.0,3.982.015.384,3.966.620.969,3.953.746.297,3.943.315.919,3.935.267.887,3.929.553.889,3.926.139.339,3.925.003.466
42,2.280.748.031.496.060,400.0,3.956.980.307,3.920.067.937,3.889.120.685,3.863.998.613,3.844.584.348,3.830.784.753,3.822.532.292,381.978.604
43,6.625.354.330.708.660,400.0,4.005.560.003,4.010.284.808,4.014.226.851,4.017.414.465,4.019.870.466,4.021.612.376,4.022.652.596,4.022.998.517
44,5.006.771.653.543.300,400.0,3.986.886.497,3.975.664.132,396.628.323,3.958.686.287,3.952.826.283,3.948.666.664,3.946.181.329,3.945.354.622
45,20.714.566.929.133.800,400.0,3.954.761.158,3.915.935.491,3.883.377.092,3.856.942.471,383.651.104,3.821.986.964,3.813.300.662,3.810.409.941
46,13.315.748.031.496.000,400.0,394.700.111,3.901.477.667,386.327.396,3.832.236.726,3.808.236.282,3.791.168.984,3.780.959.264,3.777.561.165
47,10.853.543.307.086.600,400.0,3.944.447.774,3.896.718.097,3.856.653.069,3.824.097.097,3.798.918.226,3.781.010.801,3.770.297.676,376.673.189
48,7.460.944.881.889.760,400.0,4.015.479.692,4.028.645.159,4.039.618.351,4.048.484.463,4.055.311.552,4.060.151.561,4.063.041.077,4.064.001.845
49,7.804.094.488.188.970,400.0,4.019.609.834,4.036.283.209,4.050.174.291,4.061.394.305,4.070.031.806,4.076.154.208,4.079.808.904,4.081.024.027
50,7.454.606.299.212.590,400.0,4.015.403.712,4.028.504.611,4.039.424.071,4.048.246.822,4.055.040.554,405.985.693,4.062.732.343,4.063.688.423
51,3.371.338.582.677.160,400.0,3.968.718.882,3.941.911.453,3.919.462.094,390.125.543,3.887.195.664,38.772.074,3.871.236.305,3.869.249.592
52,7.929.212.598.425.190,400.0,402.112.402,4.039.082.502,4.054.041.917,4.066.123.381,407.542.321,4.082.014.655,4.085.949.177,4.087.257.311
53,9.418.582.677.165.350,400.0,4.039.493.251,4.073.000.541,410.085.932,4.123.325.815,414.060.085,415.283.545,4.160.134.845,4.162.561.135
54,18.681.889.763.779.500,400.0,3.952.616.082,39.119.401,3.877.822.952,3.850.118.037,3.828.701.922,3.813.476.357,3.804.369.928,3.801.339.294
55,5.527.086.614.173.220,400.0,3.992.812.733,3.986.659.427,3.981.518.886,3.977.357.896,3.974.149.429,3.971.872.558,3.970.512.381,3.970.059.979
56,8.262.795.275.590.550,400.0,4.025.182.787,4.046.583.449,4.064.402.759,4.078.789.278,4.089.860.765,4.097.706.556,4.102.389.297,4.103.946.111
57,7.956.496.062.992.120,400.0,4.021.454.795,4.039.693.941,4.054.886.632,4.067.156.172,4.076.600.587,4.083.294.415,4.087.290.016,4.088.618.451
58,8.446.535.433.070.860,400.0,4.027.431.962,4.050.738.515,4.070.140.275,4.085.801.598,409.785.253,4.106.391.591,4.111.487.797,4.113.182.022
59,8.081.417.322.834.640,400.0,4.022.971.995,4.042.498.178,4.058.760.397,4.071.892.097,408.199.924,4.089.162.321,4.093.437.845,4.094.859.319
60,10.627.952.755.905.500,400.0,3.944.214.554,3.896.283.301,3.856.048.168,3.823.353.369,3.798.066.761,3.780.082.518,376.932.336,3.765.742.239
61,20.183.464.566.929.100,400.0,3.954.199.719,3.914.889.847,3.881.923.602,385.515.665,3.834.467.634,3.819.760.067,3.810.963.877,3.808.036.561
62,17.673.228.346.456.600,400.0,3.951.555.361,3.909.964.096,3.875.075.662,3.846.742.036,382.483.847,3.809.265.594,3.799.951.137,3.796.851.222
63,8.310.629.921.259.840,400.0,4.025.767.403,4.047.663.563,4.065.894.352,40.806.124,4.091.938.628,4.099.964.742,4.104.755.032,410.634.759
64,9.189.724.409.448.810,400.0,4.036.628.776,4.067.716.479,40.935.712,4.114.426.246,4.130.464.889,4.141.825.193,414.860.348,4.150.856.639
65,5.171.929.133.858.260,400.0,3.988.759.827,3.979.140.631,3.971.101.354,3.964.591.878,3.959.571.286,3.956.007.806,3.953.878.775,3.953.170.606
66,9.344.606.299.212.590,400.0,4.038.565.654,4.071.289.622,4.098.499.734,412.044.472,4.137.319.669,4.149.271.376,4.156.402.167,4.158.772.442
67,7.030.354.330.708.660,400.0,4.010.343.768,4.019.141.785,402.647.864,4.032.409.099,4.036.977.089,4.040.216.246,404.215.032,4.042.793.446
68,6.845.787.401.574.800,400.0,4.008.158.095,4.015.095.708,4.020.882.426,402.556.071,4.029.164.677,4.031.720.489,4.033.246.636,4.033.754.133
69,36.669.291.338.582.600,400.0,3.971.951.745,3.947.922.516,3.927.806.159,3.911.495.804,3.898.902.959,3.889.958.133,3.884.611.332,388.283.242
70,7.623.661.417.322.830,400.0,4.017.434.013,4.032.259.845,4.044.614.443,4.054.595.149,4.062.279.595,4.067.726.964,4.070.978.901,4.072.060.146
71,9.543.307.086.614.170,400.0,4.041.060.827,407.589.143,4.104.845.755,4.128.192.864,4.146.143.381,4.158.855.552,4.166.439.563,4.168.960.408
72,31.677.952.755.905.500,400.0,396.650.555,3.937.794.872,3.913.746.411,3.894.239.406,3.879.173.399,3.868.469.207,3.862.069.699,3.859.940.375
73,10.331.102.362.204.700,400.0,3.943.907.847,3.895.711.488,3.855.252.628,3.822.375.232,3.796.946.914,3.778.861.627,3.768.041.917,3.764.440.624
74,6.724.488.188.976.370,400.0,4.006.726.771,40.124.455,4.017.216.235,4.021.073.587,4.024.045.398,4.026.153.038,4.027.411.619,4.027.830.149
75,5.491.850.393.700.780,400.0,3.992.409.133,398.591.084,3.980.481.872,3.976.087.272,397.269.859,3.970.293.787,3.968.857.168,3.968.379.338
76,5.124.566.929.133.850,400.0,3.988.221.876,3.978.142.385,3.969.717.958,3.962.896.327,3.957.634.805,395.390.023,3.951.668.941,3.950.926.753
77,6.283.070.866.141.730,400.0,4.001.552.147,4.002.860.552,400.395.264,4.004.836.006,4.005.516.791,4.005.999.719,4.006.288.144,4.006.384.063
78,5.086.929.133.858.260,400.0,39.877.948,3.977.349.839,3.968.619.577,3.961.550.057,3.956.097.194,3.952.226.733,3.949.914.228,3.949.145.021
79,48.011.023.622.047.200,400.0,3.984.563.687,3.971.352.479,3.960.306.497,3.951.359.454,3.944.457.044,3.939.556.982,3.936.629.041,3.935.655.076
80,8.311.535.433.070.860,400.0,4.025.778.476,404.768.402,4.065.922.603,4.080.646.928,409.197.798,4.100.007.509,4.104.799.835,410.639.307
81,33.857.086.614.173.200,400.0,3.968.875.536,3.942.202.778,3.919.866.543,3.901.751.851,3.887.763.244,3.877.825.604,38.718.848,3.869.908.171
82,2.528.307.086.614.170,400.0,395.961.906,3.924.980.537,3.895.947.168,3.872.383.685,3.854.176.891,3.841.237.133,3.833.499.489,383.092.466
83,464.003.937.007.874,400.0,3.982.752.392,3.967.989.532,3.955.643.956,3.945.642.813,393.792.633,3.932.447.908,3.929.174.204,3.928.085.195
84,2.069.448.818.897.630,400.0,3.954.739.919,3.915.895.937,3.883.322.112,3.856.874.922,3.836.433.749,3.821.902.733,3.813.212.275,381.032.017
85,1.975.511.811.023.620,400.0,3.953.747.406,3.914.047.397,3.880.752.511,3.853.717.745,3.832.821.138,3.817.965.687,3.809.080.929,3.806.124.118
86,6.485.669.291.338.580,400.0,400.392.054,4.007.248.246,4.010.025.113,4.012.270.837,4.014.001.301,4.015.228.714,4.015.961.725,401.620.549
87,4.163.976.377.952.750,400.0,3.977.438.069,3.958.118.777,394.195.424,3.928.853.781,3.918.742.664,391.156.242,39.072.711,3.905.843.468
88,723.751.968.503.937,400.0,4.012.808.308,4.023.702.832,4.032.785.717,4.040.126.066,4.045.779.195,4.049.787.396,4.052.180.495,4.052.976.232
89,9.459.881.889.763.770,400.0,4.040.011.805,407.395.691,4.102.178.188,4.124.936.088,414.243.466,415.482.731,41.622.209,4.164.678.484
90,7.931.732.283.464.560,400.0,4.021.154.559,4.039.138.954,4.054.119.908,4.066.218.738,4.075.531.918,4.082.132.816,4.086.072.978,4.087.382.987
91,5.454.527.559.055.110,400.0,3.991.981.995,3.985.118.556,397.938.428,3.974.742.384,3.971.162.918,3.968.622.674,3.967.105.126,3.966.600.374
92,6.645.984.251.968.500,400.0,4.005.802.587,4.010.734.064,4.014.848.438,4.018.175.338,4.020.738.618,4.022.556.597,4.023.642.235,4.024.003.258
93,1.276.771.653.543.300,400.0,3.946.431.547,3.900.416.071,3.861.797.329,38.304.215,3.806.158.363,3.788.903.803,3.778.581.883,3.775.146.409
94,6.137.598.425.196.850,400.0,3.999.858.453,3.999.722.063,3.999.608.203,3.999.516.092,3.999.445.097,3.999.394.731,399.936.465,3.999.354.645
95,9.536.102.362.204.720,400.0,4.040.970.151,4.075.724.223,4.104.615.199,4.127.911.393,4.145.822.858,4.158.507.421,416.607.498,4.168.590.359
