,G,T1,T2,T3,T4,T5,T6,T7,T8,T9
165,4.905,400.0,3.985.735.709,3.973.528.155,3.963.322.538,3.955.056.952,394.868.073,3.944.154.449,3.941.449.946,3.940.550.322
166,8.918.031.496.062.990,400.0,403.324.805,4.061.477.668,4.084.963.596,4.103.912.976,4.118.488.957,4.128.814.698,4.134.976.253,4.137.024.494
167,4.774.566.929.133.850,400.0,3.984.264.806,3.970.797.608,3.959.537.252,3.950.416.352,3.943.379.685,3.938.384.248,393.539.929,3.934.406.354
168,3.234.448.818.897.630,400.0,3.967.229.195,3.939.140.887,3.915.615.414,3.896.533.737,3.881.796.892,387.132.691,386.506.756,3.862.984.893
169,7.432.322.834.645.660,400.0,4.015.136.693,4.028.010.665,4.038.741.278,4.047.411.628,4.054.088.115,4.058.821.426,4.061.647.268,4.062.586.869
170,7.501.496.062.992.120,400.0,401.596.604,4.029.544.781,4.040.861.865,405.000.548,4.057.046.047,4.062.037.295,4.065.017.061,406.600.783
171,5.111.023.622.047.240,400.0,3.988.068.157,3.977.857.126,3.969.322.625,3.962.411.778,3.957.081.392,3.953.297.913,3.951.037.395,3.950.285.483
172,22.043.700.787.401.500,400.0,395.616.922,3.918.557.659,3.887.021.711,38.614.201,3.841.634.247,3.827.570.004,381.915.907,3.816.360.047
173,8.843.976.377.952.750,400.0,4.032.330.295,4.059.783.585,40.826.258,4.101.057.145,4.115.235.418,4.125.279.805,4.131.273.618,4.133.266.122
174,11.203.149.606.299.200,400.0,3.944.809.443,3.897.392.342,3.857.591.075,3.825.250.354,3.800.238.525,37.824.502,3.771.808.445,3.768.266.432
175,34.201.181.102.362.200,400.0,396.925.086,3.942.900.735,3.920.835.501,3.902.941.127,3.889.122.977,38.793.066,3.873.438.354,3.871.485.876
176,8.438.464.566.929.130,400.0,4.027.332.963,405.055.565,4.069.887.793,4.085.493.043,4.097.500.899,4.106.009.472,4.111.087.497,4.112.775.679
177,9.439.055.118.110.230,400.0,4.039.750.241,4.073.474.515,4.101.512.956,412.412.388,4.141.509.709,4.153.822.645,4.161.168.728,4.163.610.528
178,8.002.755.905.511.810,400.0,4.022.016.115,4.040.731.488,4.056.319.963,4.068.908.574,4.078.598.267,4.085.465.775,4.089.564.983,4.090.927.855
179,6.176.574.803.149.600,400.0,400.031.168,4.000.561.974,4.000.770.913,4.000.939.937,4.001.070.208,4.001.162.624,400.121.782,4.001.236.177
180,18.349.606.299.212.500,400.0,3.952.266.377,3.911.288.662,3.876.917.268,3.849.005.117,3.827.428.335,3.812.088.298,3.802.913.305,3.799.859.837
181,3.169.763.779.527.550,400.0,3.966.526.906,3.937.834.596,3.913.801.571,3.894.307.121,387.925.083,3.868.553.552,3.862.158.182,3.860.030.235
182,5.044.645.669.291.330,400.0,3.987.315.454,3.976.460.251,3.967.386.654,396.003.883,3.954.371.136,3.950.348.103,3.947.944.406,394.714.486
183,19.303.543.307.086.600,400.0,3.953.271.046,391.316.012,3.879.519.055,3.852.202.166,3.831.086.861,3.816.075.608,3.807.097.538,3.804.109.652
184,4.669.094.488.188.970,400.0,3.983.078.641,3.968.595.314,3.956.483.897,3.946.672.703,3.939.102.929,3.933.728.744,3.930.517.359,3.929.449.086
185,22.301.574.803.149.600,400.0,3.956.442.907,391.906.729,3.887.730.008,3.862.290.234,384.262.979,3.828.654.866,3.820.297.418,3.817.516.206
186,9.275.787.401.574.800,400.0,4.037.704.171,4.069.700.468,4.096.307.885,4.117.768.255,4.134.271.383,4.145.960.164,4.152.934.243,4.155.252.453
187,36.741.338.582.677.100,400.0,3.972.030.819,3.948.069.518,3.928.010.185,3.911.746.167,389.918.916,3.890.269.822,3.884.938.269,3.883.164.432
188,205.003.937.007.874,400.0,3.954.534.669,3.915.513.676,388.279.076,3.856.222.086,3.835.686.755,3.821.088.667,3.812.358.041,3.809.452.559
189,3.986.692.913.385.820,400.0,3.975.473.991,3.954.469.262,3.936.891.067,3.922.642.674,3.911.644.227,3.903.833.167,3.899.164.565,3.897.611.374
190,8.500.944.881.889.760,400.0,4.028.099.851,4.051.972.133,4.071.843.473,4.087.882.997,4.100.224.455,410.896.913,4.114.187.955,4.115.922.929
191,6.971.102.362.204.720,400.0,4.009.641.069,4.017.841.076,402.467.973,4.030.207.797,4.034.466.023,4.037.485.618,4.039.288.629,403.988.818
192,595.751.968.503.937,400.0,3.997.769.789,3.995.850.827,3.994.248.511,3.992.952.037,3.991.952.653,39.912.436,3.990.820.081,3.990.679.226
193,7.824.409.448.818.890,400.0,4.019.855.385,4.036.737.198,405.080.158,4.062.161.349,4.070.906.309,4.077.104.814,4.080.804.915,408.203.513
194,31.298.031.496.062.900,400.0,3.966.093.575,3.937.028.532,391.268.226,3.892.933.034,3.877.679.559,386.684.197,386.036.263,385.820.673
195,21.590.551.181.102.300,400.0,3.955.688.677,3.917.662.809,3.885.777.985,3.859.892.159,3.839.886.053,3.825.664.934,381.716.006,3.814.329.755
196,4.758.425.196.850.390,400.0,3.984.083.085,3.970.460.233,3.959.069.522,3.949.842.901,3.942.724.591,3.937.671.153,3.934.651.521,3.933.647.049
197,19.074.409.448.818.800,400.0,3.953.029.525,3.912.710.242,3.878.893.634,3.851.433.675,3.830.207.461,3.815.117.192,3.806.091.798,3.803.088.151
198,5.165.196.850.393.700,400.0,3.988.683.324,3.978.998.672,3.970.904.628,3.964.350.766,3.959.295.917,395.570.811,3.953.564.539,3.952.851.533
199,5.191.614.173.228.340,400.0,3.988.983.588,3.979.555.835,3.971.676.735,396.529.707,3.960.376.666,3.956.884.332,395.479.782,3.954.103.797
200,7.518.543.307.086.610,400.0,4.016.170.633,4.029.923.211,4.041.384.937,4.050.645.265,4.057.775.612,4.062.830.463,4.065.848.183,406.685.157
201,5.621.692.913.385.820,400.0,3.993.898.003,3.988.672.189,3.984.306.964,3.980.773.858,3.978.049.724,397.611.665,3.974.961.889,3.974.577.815
202,882.755.905.511.811,400.0,4.032.127.052,4.059.408.394,4.082.108.017,41.004.246,4.114.514.761,4.124.496.811,4.130.453.458,4.132.433.612
203,23.528.346.456.692.900,400.0,3.957.747.132,3.921.495.682,389.110.482,3.866.435.917,3.847.372.771,3.833.823.229,3.825.720.493,3.823.024.097
204,11.009.448.818.897.600,400.0,3.944.609.023,389.701.871,3.857.071.284,3.824.611.286,3.799.506.895,3.781.652.574,3.770.971.272,3.767.416.086
205,8.418.267.716.535.430,400.0,4.027.085.305,4.050.098.185,4.069.256.158,4.084.721.119,4.096.621.201,4.105.053.495,4.110.086.029,4.111.759.094
206,7.275.511.811.023.620,400.0,4.013.261.577,4.024.541.537,4.033.945.327,4.041.544.741,4.047.397.228,4.051.546.697,4.054.024.108,4.054.847.875
207,45.698.818.897.637.700,400.0,3.981.965.525,3.966.528.382,395.361.791,3.943.158.487,393.508.802,3.929.358.079,3.925.933.999,3.924.794.953
208,21.418.503.937.007.800,400.0,3.955.506.361,3.917.323.294,388.530.609,3.859.312.413,3.839.222.725,3.824.942.074,3.816.401.548,3.813.559.371
209,11.563.385.826.771.600,400.0,3.945.182.412,3.898.087.627,3.858.558.324,3.826.439.535,3.801.599.924,3.783.934.385,3.773.366.207,3.769.848.704
210,6.234.133.858.267.710,400.0,4.000.981.746,4.001.803.643,4.002.489.697,4.003.044.656,4.003.472.362,4.003.775.772,4.003.956.983,4.004.017.248
211,7.448.070.866.141.730,400.0,4.015.325.385,4.028.359.719,4.039.223.784,4.048.001.833,4.054.761.175,4.059.553.186,4.062.414.059,4.063.365.305
212,7.589.015.748.031.490,400.0,4.017.017.275,4.031.489.123,4.043.549.257,4.053.292.402,4.060.794.132,4.066.112.071,4.069.286.778,4.070.342.351
213,5.873.503.937.007.870,400.0,3.996.798.318,3.994.049.934,3.991.754.831,3.989.897.662,3.988.465.982,3.987.450.177,3.986.843.416,3.986.641.615
214,9.869.212.598.425.190,400.0,404.517.861,4.083.482.644,4.115.310.853,4.140.966.996,4.160.688.098,4.174.651.802,4.182.981.575,4.185.750.158
215,19.654.330.708.661.400,400.0,3.953.641.044,3.913.849.289,3.880.477.113,3.853.379.361,3.832.433.929,3.817.543.695,3.808.638.106,3.805.674.357
216,28.668.897.637.795.200,400.0,396.325.251,3.931.742.787,3.905.341.341,3.883.920.137,3.867.372.367,3.855.613.654,3.848.583.015,384.624.358
217,7.246.496.062.992.120,400.0,4.012.915.366,4.023.900.929,4.033.059.615,4.040.461.159,404.616.138,4.050.202.952,4.052.615.967,4.053.418.326
218,680.748.031.496.063,400.0,4.007.705.635,4.014.257.993,4.019.723.618,4.024.142.474,4.027.546.681,4.029.960.878,4.031.402.481,4.031.881.867
219,3.527.677.165.354.330,400.0,3.970.425.997,3.945.085.857,3.923.868.841,390.666.397,3.893.379.231,3.883.942.291,387.830.107,3.876.424.162
220,794.515.748.031.496,400.0,4.021.317.304,4.039.439.792,4.054.535.523,4.066.726.893,4.076.111.213,4.082.762.487,4.086.732.702,40.880.527
221,8.080.275.590.551.180,400.0,4.022.958.108,4.042.472.513,4.058.724.946,4.071.848.759,408.194.984,4.089.108.628,4.093.381.592,4.094.802.215
222,747.976.377.952.756,400.0,4.015.705.338,4.029.062.554,4.040.195.308,4.049.190.181,4.056.116.325,406.102.651,4.063.957.903,4.064.932.592
223,5.384.724.409.448.810,400.0,3.991.184.132,3.983.638.526,3.977.333.803,3.972.229.804,3.968.293.807,3.965.500.445,3.963.831.644,3.963.276.579
224,8.424.212.598.425.190,400.0,402.715.819,4.050.232.817,406.944.205,40.849.483,4.096.880.102,4.105.334.847,411.038.077,4.112.058.284
225,5.466.141.732.283.460,400.0,3.992.114.872,398.536.503,3.979.725.738,397.516.078,3.971.640.671,3.969.142.567,3.967.650.198,3.967.153.822
226,537.255.905.511.811,400.0,3.991.045.213,3.983.380.817,3.976.976.751,397.179.227,3.967.794.174,3.964.956.724,3.963.261.576,3.962.697.747
227,9.877.283.464.566.920,400.0,4.045.280.984,4.083.671.323,4.115.570.908,4.141.284.379,4.161.049.431,4.175.044.195,4.183.392.474,4.186.167.205
228,9.144.606.299.212.590,400.0,4.036.065.872,4.066.677.875,4.092.138.448,4.112.676.478,4.128.471.841,4.139.660.089,4.146.335.816,4.148.554.899
229,21.227.559.055.118.100,400.0,3.955.304.103,3.916.946.636,3.884.782.561,3.858.669.225,3.838.486.801,3.824.140.095,3.815.560.013,3.812.704.663
230,9.060.984.251.968.500,400.0,4.035.024.156,406.475.563,408.948.651,4.109.437.567,412.478.244,4.135.652.066,4.142.137.859,4.144.293.835
231,6.282.874.015.748.030,400.0,4.001.549.851,4.002.856.299,4.003.946.752,4.004.828.797,4.005.508.563,4.005.990.769,4.006.278.762,4.006.374.538
232,9.568.385.826.771.650,400.0,4.041.376.578,4.076.473.663,410.564.856,4.129.172.941,4.147.259.421,4.160.067.711,4.167.709.004,4.170.248.878
233,3.914.527.559.055.110,400.0,3.974.676.797,3.952.987.749,3.934.835.427,3.920.120.723,3.908.761.764,3.900.694.379,389.587.246,3.894.268.243
234,7.998.307.086.614.170,400.0,4.021.962.106,4.040.631.661,405.618.206,4.068.739.975,4.078.406.073,4.085.256.873,4.089.346.115,4.090.705.674
235,4.491.692.913.385.820,400.0,3.981.090.088,3.964.902.614,3.951.363.433,3.940.393.891,3.931.929.359,39.259.194,3.922.327.895,3.921.133.139
236,9.234.645.669.291.330,400.0,4.037.189.816,4.068.751.572,4.094.999.028,4.116.169.927,4.132.450.941,4.143.982.651,4.150.863.107,4.153.150.211
237,8.835.551.181.102.360,400.0,4.032.225.983,4.059.591.024,4.082.360.058,4.100.732.504,4.114.865.556,4.124.877.951,4.130.852.689,4.132.838.855
238,650.748.031.496.063,400.0,4.004.176.181,4.007.721.774,4.010.680.384,401.307.304,4.014.916.695,4.016.224.379,4.017.005.322,4.017.265.027
239,7.943.346.456.692.910,400.0,4.021.295.347,4.039.399.205,4.054.479.451,4.066.658.336,4.076.033.059,4.082.677.537,4.086.643.698,4.087.962.348
240,3.759.291.338.582.670,400.0,3.972.966.451,394.980.879,3.930.424.034,3.914.708.137,3.902.575.024,3.893.957.148,3.888.805.937,3.887.092.125
241,5.914.488.188.976.370,400.0,399.727.198,3.994.928.024,3.992.970.742,3.991.386.994,3.990.166.128,3.989.299.917,3.988.782.519,3.988.610.441
242,13.711.811.023.622.000,400.0,3.947.413.179,3.902.245.677,3.864.342.183,3.833.549.852,3.809.739.398,3.792.807.531,3.782.678.954,3.779.307.882
243,28.397.637.795.275.500,400.0,3.962.960.365,3.931.199.167,3.904.586.249,3.882.992.961,3.866.311.954,3.854.458.405,3.847.371,3.845.012.666
244,9.822.874.015.748.030,400.0,4.044.591.207,4.082.399.994,4.113.818.593,4.139.145.723,4.158.614.587,4.172.400.022,4.180.623.578,4.183.356.878
245,6.516.968.503.937.000,400.0,400.428.743,4.007.927.838,4.010.965.532,4.013.422.122,4.015.315.028,401.665.764,4.017.459.438,4.017.726.078
246,776.007.874.015.748,400.0,4.019.078.206,4.035.300.261,4.048.816.072,4.059.733.437,4.068.138.218,4.074.095.799,4.077.652.159,4.078.834.596
247,6.798.897.637.795.270,400.0,4.007.604.318,4.014.070.399,4.019.464.115,4.023.824.868,4.027.184.334,4.029.566.812,4.030.989.479,4.031.462.568
248,45.003.543.307.086.600,400.0,3.981.186.987,3.965.082.571,3.951.612.992,3.940.699.926,3.932.279.024,3.926.300.069,3.922.727.101,3.921.538.514
249,13.523.228.346.456.600,400.0,3.947.216.928,3.901.879.911,3.863.833.445,3.832.924.484,3.809.023.553,3.792.027.191,3.781.859.973,377.847.603
250,848.507.874.015.748,400.0,4.027.905.002,4.051.612.251,4.071.346.611,4.087.275.817,4.099.532.532,4.108.217.233,4.113.400.294,4.115.123.382
251,396.755.905.511.811,400.0,3.975.262.494,3.954.076.226,3.936.345.733,3.921.973.649,3.910.879.577,3.903.000.529,3.898.291.262,3.896.724.538
252,4.448.740.157.480.310,400.0,3.980.609.847,3.964.010.694,3.950.126.517,3.938.877.024,3.930.196.212,3.924.032.559,3.920.349.154,3.919.123.819
253,14.448.818.897.637.700,400.0,3.948.180.968,3.903.676.592,3.866.332.342,3.835.996.178,3.812.539.586,3.795.859.946,3.785.882.484,3.782.561.746
254,6.139.566.929.133.850,400.0,3.999.881.333,3.999.764.466,3.999.666.903,3.999.587.976,3.999.527.144,3.999.483.988,3.999.458.212,399.944.964
255,8.721.692.913.385.820,400.0,4.030.818.331,4.056.992.235,4.078.773.346,4.096.350.592,4.109.873.057,4.119.453.454,412.517.062,4.127.071.197
256,9.488.543.307.086.610,400.0,4.040.371.974,4.074.621.133,4.103.094.135,4.126.054.377,4.143.708.159,4.156.210.544,4.163.669.533,4.166.148.844
257,5.621.338.582.677.160,400.0,3.993.893.934,3.988.664.642,3.984.296.512,3.980.761.052,3.978.035.103,397.610.074,3.974.945.209,3.974.560.879
258,3.110.236.220.472.440,400.0,3.965.881.539,3.936.634.097,3.912.134.525,389.226.061,3.876.910.627,3.866.004.363,3.859.483.925,3.857.314.343
259,6.283.897.637.795.270,400.0,4.001.561.789,4.002.878.418,4.003.977.368,4.004.866.285,4.005.551.347,400.603.731,4.006.327.546,4.006.424.068
260,4.005.275.590.551.180,400.0,3.975.679.485,3.954.851.134,3.937.420.901,3.923.292.675,3.912.387.124,3.904.642.111,3.900.013.013,3.898.472.969
261,16.577.952.755.905.500,400.0,3.950.406.336,3.907.823.355,3.872.099.055,3.843.083.958,3.820.651.965,3.804.702.544,3.795.162.534,3.791.987.498
262,23.746.062.992.125.900,400.0,3.957.978.979,3.921.927.335,3.891.704.662,3.867.172.734,3.848.215.712,3.834.741.743,3.826.684.257,3.824.002.929
263,4.228.267.716.535.430,400.0,3.978.152.334,3.959.445.779,394.379.504,3.931.111.712,3.921.322.975,3.914.371.889,3.910.217.614,3.908.835.588
264,36.799.212.598.425.100,400.0,3.972.094.348,3.948.187.618,3.928.174.096,3.911.947.305,3.899.419.088,3.890.520.227,3.885.200.923,3.883.431.164
265,7.583.661.417.322.830,400.0,40.169.529,4.031.370.064,4.043.384.706,4.053.091.149,4.060.564.649,406.586.259,4.069.025.365,4.070.076.971
266,432,400.0,3.979.173.308,3.961.342.424,3.946.425.833,3.934.338.446,3.925.010.235,3.918.386.478,3.914.427.949,3.913.111.062
267,692.496.062.992.126,400.0,4.009.094.524,4.016.829.336,4.023.280.387,4.028.495.361,4.032.512.546,4.035.361.282,4.037.062.298,4.037.627.937
268,964.496.062.992.126,400.0,4.042.341.835,4.078.253.414,4.108.102.394,4.132.168.477,4.150.670.398,4.163.772.371,4.171.588.674,4.174.186.688
269,5.764.370.078.740.150,400.0,3.995.539.244,3.991.715.588,3.988.522.145,398.593.779,3.983.945.373,3.982.531.636,3.981.687.151,3.981.406.281
270,7.832.362.204.724.400,400.0,4.019.951.544,4.036.914.977,4.051.047.219,406.246.171,4.071.248.746,407.747.705,4.081.194.928,4.082.431.052
271,5.928.188.976.377.950,400.0,3.997.430.423,399.522.174,3.993.377.446,3.991.885.142,3.990.734.777,3.989.918.594,3.989.431.081,3.989.268.941
272,9.821.417.322.834.640,400.0,4.044.572.751,4.082.365.978,4.113.771.705,4.139.088.497,4.158.549.434,4.172.329.267,4.180.549.485,4.183.281.676
273,5.462.992.125.984.250,400.0,3.992.078.834,3.985.298.184,3.979.633.131,3.975.047.307,39.715.111,3.969.001.568,396.750.237,3.967.003.723
274,13.374.803.149.606.200,400.0,3.947.062.528,3.901.592.139,3.863.433.181,3.832.432.453,380.846.033,379.141.322,3.781.215.597,3.777.821.526
275,5.280.905.511.811.020,400.0,3.989.999.859,3.981.441.458,3.974.289.641,3.968.499.324,3.964.033.742,3.960.864.369,3.958.970.868,3.958.341.053
276,3.087.755.905.511.810,400.0,396.563.805,3.936.181.142,3.911.505.515,3.891.488.395,3.876.027.571,3.865.042.432,3.858.474.789,3.856.289.493
277,13.722.047.244.094.400,400.0,3.947.423.834,3.902.265.535,3.864.369.803,3.833.583.803,3.809.778.262,3.792.849.896,3.782.723.417,3.779.353.043
278,18.021.259.842.519.600,400.0,3.951.921.077,3.910.645.408,3.876.022.937,384.790.612,3.826.170.657,381.071.756,3.801.474.848,3.798.398.827
279,2.202.755.905.511.810,400.0,3.956.152.094,3.918.525.768,3.886.977.388,3.861.365.649,3.841.571.947,3.827.502.114,3.819.087.833,3.816.287.696
280,6.766.811.023.622.040,400.0,4.007.225.718,401.336.939,4.018.494.364,4.022.637.968,4.025.830.219,4.028.094.148,4.029.446.039,4.029.895.595
281,5.238.582.677.165.350,400.0,3.989.517.898,3.980.547.238,3.973.050.552,3.966.980.785,3.962.299.548,3.958.977.046,3.956.992.032,3.956.331.774
282,4.691.771.653.543.300,400.0,3.983.333.428,3.969.068.389,3.957.139.816,3.947.476.938,3.940.021.714,3.934.728.914,3.931.566.185,3.930.514.101
283,5.119.251.968.503.930,400.0,3.988.161.544,3.978.030.427,3.969.562.799,3.962.706.154,3.957.417.605,3.953.663.837,3.951.421.077,3.950.675.072
284,3.720.551.181.102.360,400.0,3.972.540.581,3.949.017.151,3.929.325.382,3.913.360.035,3.901.034.014,389.227.895,3.887.045.671,3.885.304.544
285,547.255.905.511.811,400.0,3.992.188.308,3.985.501.245,3.979.914.444,3.975.392.004,3.971.904.696,3.969.429.879,3.967.951.424,3.967.459.677
286,8.650.275.590.551.180,400.0,4.029.937.299,4.055.365.454,4.076.527.899,4.093.607.075,4.106.747.052,4.116.056.808,4.121.612.598,412.345.955
287,39.280.708.661.417.300,400.0,3.974.826.305,3.953.265.607,3.935.220.973,3.920.593.739,3.909.302.407,3.901.283.106,3.896.489.949,3.894.895.305
288,567.996.062.992.126,400.0,3.994.567.608,3.989.913.926,3.986.026.878,3.982.880.965,3.980.455.468,3.978.734.362,3.977.706.244,3.977.364.294
289,5.238.385.826.771.650,400.0,3.989.515.657,3.980.543.081,3.973.044.791,3.966.973.725,3.962.291.485,3.958.968.271,3.956.982.832,3.956.322.432
290,8.140.472.440.944.880,400.0,402.369.078,4.043.826.525,4.060.595.172,4.074.135.039,4.084.555.891,4.091.941.076,4.096.349.085,4.097.814.592
291,1.976.220.472.440.940,400.0,3.953.754.885,3.914.061.328,3.880.771.877,385.374.154,3.832.848.366,3.817.995.361,3.809.112.068,3.806.155.745
292,6.445.787.401.574.800,400.0,4.003.453.432,4.006.382.976,4.008.827.706,4.010.804.896,4.012.328.482,4.013.409.179,4.014.054.579,4.014.269.211
293,602,400.0,3.998.493.481,3.997.192.261,3.996.105.833,3.995.226.829,399.454.928,3.994.068.582,3.993.781.465,3.993.685.976
294,31.222.047.244.094.400,400.0,3.966.011.224,3.936.875.341,3.912.469.531,389.267.188,3.877.380.925,3.866.516.665,3.860.021.364,385.786.015
295,9.302.795.275.590.550,400.0,4.038.042.093,4.070.323.844,4.097.167.702,4.118.818.197,4.135.467.203,4.147.259.141,4.154.294.706,4.156.633.343
296,10.995.669.291.338.500,400.0,3.944.594.769,3.896.992.136,3.857.034.315,3.824.565.834,3.799.454.859,3.781.595.844,3.770.911.729,3.767.355.606
297,7.162.874.015.748.030,400.0,4.011.918.912,4.022.057.008,4.030.510.022,4.037.341.824,4.042.603.581,4.046.334.434,4.048.561.996,40.493.027
298,3.788.740.157.480.310,400.0,3.973.290.437,3.950.411.016,3.931.259.786,3.915.733.619,3.903.747.225,3.895.233.684,3.890.144.887,3.888.451.848
299,21.081.889.763.779.500,400.0,3.955.149.863,3.916.659.396,388.438.331,3.858.178.713,3.837.925.561,3.823.528.475,3.814.918.223,3.812.052.826
300,5.910.236.220.472.440,400.0,3.997.222.818,3.994.836.889,3.992.844.547,3.991.232.425,3.989.989.681,3.989.107.947,3.988.581.275,3.988.406.112
301,4.635.511.811.023.620,400.0,3.982.701.573,3.967.895.169,3.955.513.116,3.945.482.383,3.937.743.045,3.932.248.383,3.928.964.971,3.927.872.731
302,37.991.338.582.677.100,400.0,3.973.404.837,395.062.366,393.155.488,39.160.957,3.904.161.104,3.895.684.398,3.890.617.636,3.888.931.931
303,9.981.220.472.440.940,400.0,4.046.601.098,4.086.104.113,4.118.923.775,4.145.376.159,4.165.707.632,418.010.268,4.188.689.445,4.191.543.394
304,9.968.897.637.795.270,400.0,4.046.444.416,4.085.815.391,4.118.525.882,4.144.890.599,4.165.154.874,4.179.502.436,418.806.091,4.190.905.462
305,2.804.724.409.448.810,400.0,3.962.583.263,3.930.497.437,3.903.611.514,3.881.796.057,3.864.943.026,385.296.703,3.845.806.331,3.843.423.595
306,3.177.007.874.015.740,400.0,3.966.605.503,3.937.980.796,3.914.004.581,3.894.556.335,3.879.535.804,386.886.397,3.862.483.826,3.860.360.948
307,7.777.204.724.409.440,400.0,4.019.284.991,4.035.682.601,4.049.344.391,4.060.379.488,40.688.748,4.074.896.499,4.078.491.114,4.079.686.266
308,4.194.251.968.503.930,400.0,3.977.774.293,3.958.743.445,3.942.820.787,3.929.916.704,3.919.957.361,3.912.885.004,3.908.658.206,3.907.252.045
309,8.834.094.488.188.970,400.0,403.220.795,4.059.557.734,4.082.314.116,410.067.638,4.114.801.614,4.124.808.478,4.130.779.919,4.132.764.989
310,1.967.992.125.984.250,400.0,3.953.668.047,3.913.899.586,3.880.547.033,3.853.465.272,3.832.532.236,3.817.650.834,3.808.750.533,3.805.788.546
311,6.345.196.850.393.700,400.0,4.002.277.215,4.004.203.946,4.005.812.012,4.007.112.668,4.008.115,4.008.826.003,4.009.250.634,4.009.391.849
312,6.357.204.724.409.440,400.0,400.241.748,4.004.463.812,4.006.171.674,4.007.553.033,4.008.617.549,4.009.372.657,4.009.823.626,4.009.973.601
313,46.744.094.488.188.900,400.0,3.983.138.345,396.870.617,39.566.376,3.946.861.163,3.939.318.233,393.396.312,3.930.763.138,3.929.698.658
314,6.979.606.299.212.590,400.0,4.009.741.862,4.018.027.652,4.024.937.776,4.030.523.572,4.034.826.239,4.037.877.336,403.969.915,4.040.304.953
315,5.459.566.929.133.850,400.0,3.992.039.646,3.985.225.493,3.979.532.428,3.974.923.914,3.971.370.201,3.968.848.241,3.967.341.617,39.668.405
316,24.669.291.338.582.600,400.0,3.958.963.423,3.923.760.054,3.894.251.347,3.870.300.828,3.851.794.226,3.838.640.994,3.830.775.544,3.828.158.159
317,30.278.740.157.480.300,400.0,3.964.990.072,3.934.975.675,3.909.831.439,3.889.433.122,3.873.677.234,3.862.482.116,3.855.788.804,3.853.561.671
318,181.248.031.496.063,400.0,3.952.029.939,3.910.848.207,3.876.304.895,3.848.252.607,3.826.567.175,3.811.149.725,3.801.928.365,3.798.859.455
319,4.131.732.283.464.560,400.0,3.977.080.244,395.745.395,3.941.031.955,392.772.246,3.917.449.778,3.910.154.683,3.905.794.677,3.904.344.186
320,5.659.606.299.212.590,400.0,3.994.333.596,3.989.479.976,3.985.425.832,3.982.144.622,3.979.614.774,3.977.819.603,3.976.747.234,3.976.390.566
321,4.457.283.464.566.920,400.0,3.980.705.329,396.418.803,3.950.372.451,3.939.178.624,393.054.082,3.924.407.728,3.920.742.599,3.919.523.344
322,6.644.409.448.818.890,400.0,4.005.784.065,4.010.699.763,4.014.800.979,4.018.117.245,4.020.672.335,4.022.484.506,4.023.566.676,4.023.926.547
323,10.766.929.133.858.200,400.0,3.944.358.217,3.896.551.134,3.856.420.787,3.823.811.507,3.798.591.266,3.780.654.344,3.769.923.544,3.766.351.869
324,40.598.818.897.637.700,400.0,3.976.283.855,395.597.419,3.938.979.045,3.925.204.151,3.914.571.735,3.907.020.905,3.902.507.949,3.901.006.557
325,859.240.157.480.315,400.0,4.029.224.422,4.054.049.035,4.074.710.702,4.091.386.668,4.104.216.973,4.113.307.597,411.873.272,412.053.625
326,3.478.503.937.007.870,400.0,3.969.888.391,3.944.086.235,3.922.481.226,3.904.960.978,3.891.432.267,3.881.821.786,3.876.076.733,3.874.165.263
327,4.837.204.724.409.440,400.0,3.984.970.621,397.210.792,3.961.353.767,3.952.643.385,3.945.923.722,394.115.348,3.938.303.143,3.937.354.999
328,31.363.779.527.559.000,400.0,3.966.164.845,3.937.161.107,3.912.866.358,3.893.159.039,3.877.937.999,3.867.123.489,3.860.657.962,385.850.666
329,841.744.094.488.189,400.0,402.707.517,4.050.079.462,4.069.230.307,4.084.689.526,4.096.585.197,4.105.014.369,4.110.045.042,4.111.717.487
330,9.211.102.362.204.720,400.0,4.036.895.701,4.068.208.951,4.094.250.536,4.115.255.868,4.131.409.836,41.428.517,4.149.678.602,4.151.947.913
331,3.990.669.291.338.580,400.0,3.975.517.955,3.954.550.963,3.937.004.425,3.922.781.743,3.911.803.172,3.904.006.243,3.899.346.093,3.897.795.715
332,7.828.740.157.480.310,400.0,4.019.907.747,4.036.834.004,4.050.935.339,4.062.324.906,4.071.092.778,407.730.751,4.081.017.291,4.082.250.724
333,7.610.551.181.102.360,400.0,4.017.276.276,4.031.968.128,4.044.211.277,4.054.102.072,4.061.717.366,406.711.575,4.070.338.459,4.071.409.988
334,8.151.062.992.125.980,400.0,4.023.819.787,4.044.064.923,4.060.924.446,4.074.537.551,4.085.014.689,4.092.439.724,4.096.871.501,4.098.344.908
335,7.541.732.283.464.560,400.0,4.016.449.067,4.030.438.208,4.042.096.757,4.051.515.897,4.058.768.406,4.063.909.799,406.697.916,4.067.999.713
336,48.322.834.645.669.200,400.0,398.491.513,3.972.004.907,3.961.210.963,3.952.468.313,3.945.723.732,394.093.579,3.938.074.873,3.937.123.208
337,38.076.771.653.543.300,400.0,3.973.498.892,3.950.798.483,3.931.797.487,3.916.393.376,3.904.501.363,3.896.054.939,3.891.006.291,3.889.326.614
338,22.659.448.818.897.600,400.0,3.956.822.995,3.919.775.025,388.871.361,3.863.498.548,3.844.012.229,3.830.161.318,3.821.878.129,3.819.121.645
